job_title,company_name,company_location,salary,job_type,job_description_html,link
Medical Secretary,JenRecruitment,"Cape Town, Western Cape",R15 000 - R18 000 a month,,"<div class=""jobsearch-jobDescriptionText jobsearch-JobComponent-description css-10og78z eu4oa1w0"" id=""jobDescriptionText""><div>
<p>Our client, a specialised dentistry practice in the upmarket suburb of Upper Claremont, is seeking to recruit a Medical Secretary. The ideal candidate will be compassionate and discrete with superb time management and record-keeping skills. The ideal candidate will have worked as a Medical Secretary in either a Dental Surgery or any other Medical Practice, unfortunately should you not have the desired experience your application will not be considered.</p>
<p> This is a fast paced frontline role which entails ~ welcoming patients and visitors, answering the telephone and answering any inquiries. Scheduling appointments and keep those appointments on time. Assisting patients with completing necessary forms and documentation.</p>
<p><b> General:</b></p>
<ul>
<li>Working hours are Monday to Friday 
   <ul>
<li>Monday to Thursday 7.30am – 5pm</li>
<li>Friday 8am – 4pm</li>
</ul> </li>
</ul>
<p><b>Requirements:</b></p>
<ul>
<li>Diary and appointment management</li>
<li>Strong admin and organizational skills</li>
<li>Meeting and welcoming patients</li>
<li>Liaising with patients</li>
<li>Filling</li>
<li>Answering incoming calls</li>
<li>Creating patient files</li>
<li>Managing patient flow</li>
<li>Ensure reception area is tidy and presentable</li>
<li>General administration</li>
<li>Maintain efficient patient service</li>
<li>Maintain confidentiality of all doctors, staff and patient information</li>
</ul>
<p><b>Qualification:</b></p>
<ul>
<li>Matric</li>
<li>At least 2 years experience at a healthcare facility in a Medical Secretary role / Practice (essential).</li>
<li><b>Exceptionally strong on excel</b></li>
</ul>
<p><b>Skills and attributes:</b></p>
<ul>
<li>Interpersonal and organizational skills</li>
<li>Friendly warm and well spoken</li>
<li>English and Afrikaans speaking</li>
<li>Hardworking</li>
</ul>
<p>This position is to start<b> immediately. Salary is R15 000 - R18 000 per month dependent on experience.</b></p>
</div></div>",https://za.indeed.com/rc/clk?jk=adcb2e57fa4cac03&bb=wUel6Hcm2Cvb4_XibsE2pTby36o26UEGetl4BXEgCac7GlQ07koXXM3qY6-Xsrnt2LGyphcIOwFy83jirsxsmSpd9zoDHicQvA_Yie4PE7E%3D&xkcb=SoAm67M3FJCE61gMJL0NbzkdCdPP&fccid=b2846bb8cbf8f5f8&vjs=3
Factory Manager,Astor Automotive Staff,"Cape Town, Western Cape",R30 000 a month,-Permanent,"<div class=""jobsearch-jobDescriptionText jobsearch-JobComponent-description css-10og78z eu4oa1w0"" id=""jobDescriptionText""><div>
 We are looking for an experienced Factory/Production Manager for a busy and growing blow moulding facility. Your duties will include, overseeing and managing the blow moulding production process, leading, training, and motivating a team of production staff to ensure optimal performance, maintaining a high level of quality, and optimizing production strategies to improve efficiency and reduce costs. It is vital that you have at least 3 years of factory management experience in a blow moulding environment and demonstrate excellent communication and administrative skills.
 <br/>
<br/>
<b>Job Requirements</b>
<br/> A valid Drivers License
 <br/> At least 3 years Factory/Production Management in a blow moulding factory
 <br/> Excellent planning and leadership skills
 <br/> A good business acumen
 <br/> Solid work history
 <br/> Contactable references
 <br/>
<br/>
<b>You will need the following documents when applying.</b>
<br/>
<ul>
<li>A FULL CV in Word or PDF format - Must include Company Names, Dates of Employment and Reasons for Leaving.</li>
<li>A recent photograph of yourself</li>
<li>Copy of Drivers License</li>
<li>Names and contact numbers for at least 2 References</li>
</ul>
<br/> Astor Automotive Staff T/A Astor Motor Recruitment
</div></div>",https://za.indeed.com/rc/clk?jk=95f6187c7a0f7f86&bb=wUel6Hcm2Cvb4_XibsE2pfS8e2ufILLXlL49VeTUjvXO6G81h1NzXYTLiv3cAIJ3EPdp6Z95zf_SCwf7-RYCi3gMfYHH_EGkU5rWOyUUeNo%3D&xkcb=SoCS67M3FJCE61gMJL0MbzkdCdPP&fccid=16f7b17812f32941&vjs=3
Supervisor,Pepkor Speciality,"Table Bay, Western Cape",,,"<div class=""jobsearch-jobDescriptionText jobsearch-JobComponent-description css-10og78z eu4oa1w0"" id=""jobDescriptionText""><div>
<h3 class=""jobSectionHeader""><b>Job Description</b></h3> The primary focus of the Supervisor would be to assist the Store Manager in maximising the profits by increasing sales effectively, managing stock and controlling expenses as per budget. If you feel that you have what it takes to fill the shoes of this position, please apply.
 <h3 class=""jobSectionHeader""><b> Key Responsibilities</b></h3> • Maximise profits by assisting the manager to achieve sales budgets. • Merchandise Management Support Stock Loss Management adherence • Financial assistance and execution • Administration/Management • Info Support • Stock holding and adherence to policy Human Resource assistance .
 <h3 class=""jobSectionHeader""><b> Qualifications</b></h3> • Matric or equivalent • Three to five years retail experience as a Shop Assistant • Computer Literate • Good communication skills • Further qualifications related to retail/business will be an advantage.
 <h3 class=""jobSectionHeader""><b> Knowledge, Skills and Experience</b></h3> • Outstanding customer care skills, the ability to interact and communicate with customers • Accurate and efficient till operation skills • A high standard of work on the sales floor, dedication in maintaining • Quality standards/housekeeping standards, willingness to take initiative if a job needs to be done • Very good record of attendance and punctuality • Willingness to consistently apply Refinery values and Refinery policies and procedures in all aspects of your work • Good understanding of company VM strategy in terms of stock intensity and SKU availability • Good planning, delegation skills and the ability to lead a team • Personal integrity • High stress tolerance • Ability to work trading hours of the shopping centre • Understand the receiving procedure • Ability to maintain the stockroom's layout and specification
</div></div>",https://za.indeed.com/rc/clk?jk=a553578f057236bd&bb=wUel6Hcm2Cvb4_XibsE2pRLcdEXti64f0VyDRgzJtegV2Xa9lNA6iKCvQVTmB7bm8XNnmaSOCoXNgsIIhiS286pZjSGZEwlJvYmKGjULPeg%3D&xkcb=SoBS67M3FJCE61gMJL0BbzkdCdPP&fccid=b385e57e8bc71fb1&vjs=3
Production Administrator,Bridgena Barnard Personnel Group,"Northern Suburbs, Western Cape",R11 000 - R15 000 a month,-Permanent,"<div class=""jobsearch-jobDescriptionText jobsearch-JobComponent-description css-10og78z eu4oa1w0"" id=""jobDescriptionText""><div>
<div>
<div>
   Western Cape, CPT - Northern Suburbs
  </div>
<div>
<div>
     R 11000 - R 15000 Monthly Basic Salary (Provident Fund, Market related, Negotiable)
   </div>
</div>
</div>
<div>
   Our client in the manufacturing industry has a vacancy for a Production Administrator to join their team
 </div>
<div>
   Our client in the manufacturing industry has a vacancy for a Production Administrator to join their team
  <br/>
<br/> Matric is essential 
  <br/> 3-5 years in the manufacturing sector is not negotiable 
  <br/> Attention to detail
  <br/> Production planning
  <br/> Production stock management 
  <br/> Record keeping of products on the system
  <br/> Excel &amp; Accpac system 
  <br/> Production reports
  <br/> Assisting with cost and wastage management and reporting for Control stock transfers
 </div>
<div>
<div>
    For more information please contact:
  </div>
<div>
    ClientServices
  </div>
</div>
</div></div>",https://za.indeed.com/rc/clk?jk=af726970d9cf7feb&bb=wUel6Hcm2Cvb4_XibsE2pS3xJfEsIEGXqE2HTF-JI_ogyTD8mhsjTf_7Ip7G2OapS9jQB_h4Vh2gP-JpQ0IRfwnR27-iPHHOxuzkRIrJRzI%3D&xkcb=SoBo67M3FJCE61gMJL0HbzkdCdPP&fccid=12fc2833a9e814d1&vjs=3
Warehouse Assistant,Cape Union Mart International,"Cape Town, Western Cape",,Permanent,"<div class=""jobsearch-jobDescriptionText jobsearch-JobComponent-description css-10og78z eu4oa1w0"" id=""jobDescriptionText""><div>
<p><b>Requirements</b>:</p>
<p> ¨ Code 08 Driver’s license for minimum of 3 -5 years</p>
<p> ¨ Grade 12 /Matric</p>
<p> ¨ Basic Computer skills</p>
<p> ¨ Reliable and honest</p>
<p> ¨ Previous work experience in a warehouse will be advantageous</p>
<p> ¨ Ability to use initiative and work under pressure</p>
<p></p>
<p><b><br/> Key Duties:</b></p>
<p> ¨ Driving to Suppliers and customers</p>
<p> ¨ Delivering heavy cartons and boxes (heavy labour required).</p>
<p> ¨ Collections &amp; delivery of goods</p>
<p> ¨ Checking packing slips to ensure that it corresponds with delivery notes.</p>
<p> ¨ Picking and Packing</p>
<p> ¨ Assisting with the documentation of customer returns</p>
<p> ¨ Assists in various warehouse functions to ensure a smooth turnaround time.</p>
<p></p>
<p><br/> Please note: The Cape Union Mart Group is committed to transformation. Appointments and promotions will be made based on candidates who best meet the requirements for the position. Preference will be given to candidates who will enhance the diversity of the team, aligned to our Employment Equity plan.</p>
</div></div>",https://za.indeed.com/rc/clk?jk=a49f6cb3374d7751&bb=wUel6Hcm2Cvb4_XibsE2pUE0YghdS4zNNwrAkVLc5jWafx6OoaD_SuK-vPJWg27AC67ea96hTH4G362MpMtvUDrXjFbCLIrkcHey_RZqwe8%3D&xkcb=SoDc67M3FJCE61gMJL0GbzkdCdPP&fccid=2962dfdf9bd7fd31&vjs=3
Customer Support Specialist,Crypto Banter,"Cape Town, Western Cape",,Permanent,"<div class=""jobsearch-jobDescriptionText jobsearch-JobComponent-description css-10og78z eu4oa1w0"" id=""jobDescriptionText""><div>
<p>We're looking for a skilled and highly motivated Customer Support Specialist to join our team. The ideal candidate is someone who is not just knowledgeable in customer support but also brings a strong understanding of the crypto industry, is technologically proficient, and exhibits excellent communication skills.</p>
<p><br/> <br/> <b>Responsibilities:</b></p>
<br/>
<ul>
<li> Provide high-quality customer support via email, live chat, and social media, particularly on platforms like Discord.</li>
<li> Address and resolve customer inquiries and issues in a timely and accurate manner.</li>
<li> Maintain in-depth knowledge of our products and services, as well as broader crypto industry trends.</li>
<li> Collaborate with the team to improve overall customer experience.</li>
<li> Stay updated with new technologies and industry best practices to ensure continuous improvement in service delivery.</li>
</ul>
<p><br/> <br/> <b>Skill:</b></p>
<ul>
<li> Proven experience as a customer support specialist.</li>
<li> Excellent command of the English language and articulate communication skills.</li>
<li> Technological proficiency, including experience with Excel and data capture tools.</li>
<li> A solid understanding of cryptocurrency concepts and market dynamics.</li>
<li> Experience in managing customer interactions and handling queries effectively.</li>
<li> Ability to work in a dynamic, fast-paced environment.</li>
</ul>
<p> <b>Preferred:</b></p>
<ul>
<li> Strong analytical skills and attention to detail.</li>
<li> Previous experience in a Customer Support Specialist role.</li>
<li> Experience managing Discord communities or similar platforms.</li>
<li> Demonstrable ability to articulate complex ideas clearly and engagingly.</li>
</ul>
<p><b> Perks:</b></p>
<ul>
<li> Be part of a fast-growing startup with a thriving community</li>
<li> Work with a team of passionate professionals who share your commitment to excellence</li>
<li> Enjoy a fun, dynamic work environment that encourages creativity and innovation</li>
<li> Opportunity for growth and career advancement as we continue to expand our programs and offerings</li>
<li> Competitive salary</li>
</ul>
<p><br/> If you are passionate about crypto and are excited about the opportunity to help us achieve our mission, we want to hear from you! Apply today to join our team as the Customer Support Specialist.</p>
<p><b> Please note:</b> As all Crypto Banter roles require honesty in the handling of or access to cash, finances, financial systems, or confidential information; our recruitment process requires that the following background checks be completed: credit, criminal, ID and qualification verification Crypto Banter is committed to sustainable growth and transformation, we embrace diversity and employ previously disadvantaged individuals</p>
</div></div>",https://za.indeed.com/rc/clk?jk=bfb654b4b5929836&bb=wUel6Hcm2Cvb4_XibsE2pYv0NRS0p-GYFq2pUslbMJBTJQUkfsur9Rui6QpbdHOxqnLXKdTplYXz8_ioKgsEcL8p-Op-bhNHRpGxaR-sx1Y%3D&xkcb=SoBB67M3FJCE61gMJL0FbzkdCdPP&fccid=411d23e8f0902711&vjs=3
Cashier,Pedros,"Cape Town, Western Cape",,Permanent,"<div class=""jobsearch-jobDescriptionText jobsearch-JobComponent-description css-10og78z eu4oa1w0"" id=""jobDescriptionText""><p><b>PURPOSE:</b><br/> <br/> To provide great Customer service by actively, timeously and accurately processing transactions on POS.<br/> <br/> <b>DUTIES AND RESPONSIBILITIES:</b><br/> 1. Provide Great Customer Service by processing Customer orders according to SOP<br/> 2. Maintain speed of service<br/> 3. Process payment types accurately according to SOP<br/> 4. Educate Customers about current promotions and drive sales<br/> 5. Increase ticket averages by upselling or suggestive selling techniques<br/> 6. Maintain the Cleanliness and Hygiene of the counter service areas according to SOP<br/> 7. Maintain FOH Stock according to SOP<br/> <br/> <b>REQUIREMENTS:</b><br/> 1. National Senior Certificate (preferred)<br/> 2. Senior Certificate (required)<br/> 3. Well-developed Literacy skills<br/> 4. Well-developed Numeracy skills<br/> 5. One year’s experience as a retail cashier (QSR environment preferred)</p></div>",https://za.indeed.com/rc/clk?jk=b8cea22e4dcf6614&bb=wUel6Hcm2Cvb4_XibsE2pbUQxovsmzBwASPU5fm94Epcl89wsRKq7ruhMyzE8I5r7pVgtOnX-iUpg0u4VviNQ5fRF0t5ba2Wpa_-23n_508%3D&xkcb=SoD167M3FJCE61gMJL0EbzkdCdPP&fccid=acf8b88b8252ad13&vjs=3
Executive Personal Assistant,Crayon,"Cape Town, Western Cape",R30 000 - R35 000 a month,,"<div class=""jobsearch-jobDescriptionText jobsearch-JobComponent-description css-10og78z eu4oa1w0"" id=""jobDescriptionText""><div>
<p>To find out more, click Apply or head on over to Crayon to review the full spec and apply</p>
<p> https://crayon.jobs/jobs/south-africa/cape-town/executive-personal-assistant-r3-000-bounty/1138</p>
<br/>
<p></p>
<p><b> How you'll role</b></p>
<p> As an Executive Personal Assistant you will provide comprehensive support to the CEO of a media agency. You will be responsible for managing both personal and business-related tasks, ensuring the CEO's professional and personal life operate seamlessly. This role requires exceptional multitasking abilities, excellent communication skills, and a keen understanding of the media and marketing industry.</p>
<br/>
<p></p>
<p><b> What you'll do</b></p>
<p><b> Executive Support:</b></p>
<ul>
<li>Act as the CEO's primary point of contact, managing and filtering all communication, including emails, phone calls, and messages</li>
<li>Coordinate and manage the CEO's calendar, scheduling meetings, appointments, and conference calls while prioritising conflicting demands</li>
<li>Prepare meeting materials, agendas, and presentations for both internal and external meetings</li>
</ul>
<p><b>Marketing Strategy and Content Creation:</b></p>
<ul>
<li>Collaborate with the marketing team to execute strategic marketing plans that align with company objectives</li>
<li>Assist in creating engaging marketing content, including social media posts, blog articles, newsletters, and promotional materials</li>
<li>Conduct market research to identify trends, customer preferences, and competitive landscape.</li>
<li>Help maintain a consistent brand voice and style across all marketing materials</li>
<li>Responsible for maintaining a flawless database for clients, agency partners, and media owners, ensuring accurate and up-to-date information management</li>
</ul>
<p><b>Client Wellness Support:</b></p>
<ul>
<li>Serve as a primary point of contact for clients personal assistants, fostering strong relationships and ensuring their needs are met</li>
<li>Monitor client satisfaction and proactively address any concerns or inquiries to maintain positive relationships</li>
<li>Coordinate wellness initiatives, such as personalised follow-ups, special events, and client appreciation gestures</li>
</ul>
<p><b>Staff Wellness Support:</b></p>
<ul>
<li>Collaborate with the executive team to develop and execute staff wellness programs and initiatives</li>
<li>Organise events, workshops, and activities aimed at enhancing employee well-being and team-building</li>
</ul>
<p><b>Personal Assistance:</b></p>
<ul>
<li>Provide personal support to the CEO, including organising personal appointments, travel arrangements, and reservations</li>
<li>Assist with personal errands, such as gift shopping, household management, and family-related matters</li>
<li>Maintain the CEO's personal documents, ensuring confidentiality and accuracy</li>
</ul>
<p><b>Travel Management:</b></p>
<ul>
<li>Plan and coordinate travel itineraries, including flights, accommodations, transportation, and visas for both business and personal trips</li>
<li>Anticipate and address travel-related issues and changes promptly to ensure a smooth experience</li>
</ul>
<p><b>Business Liaison:</b></p>
<ul>
<li>Serve as a liaison between the CEO and internal and external stakeholders, including clients, partners, and colleagues</li>
<li>Assist in drafting, proofreading, and editing business correspondence, reports, and presentations</li>
</ul>
<p><b>Task Management:</b></p>
<ul>
<li>Prioritise and manage tasks and projects on behalf of the CEO, ensuring deadlines are met and goals are achieved</li>
<li>Monitor and track progress on various projects and initiatives to ensure alignment with the CEO's objectives</li>
</ul>
<p><b>Research and Analysis:</b></p>
<ul>
<li>Conduct research and gather information on industry trends, competitors, and relevant topics to support the CEO's decision-making process</li>
</ul>
<p><b>Event Coordination:</b></p>
<ul>
<li>Assist in organising company events, client meetings, and industry conferences, including logistics, invitations, and follow-up</li>
</ul>
<br/>
<p></p>
<p><b> What you'll need</b></p>
<ul>
<li>Bachelor's degree in a relevant field preferred</li>
<li>Proven experience as an executive assistant or personal assistant, preferably in the media and marketing industry</li>
<li>Exceptional organisational skills and attention to detail</li>
<li>Strong communication and interpersonal skills</li>
<li><b>Proficiency in office software, including Microsoft Office Suite and scheduling tools</b></li>
<li>Ability to multitask, prioritise, and adapt to changing priorities</li>
<li>Discretion and the ability to handle sensitive information with confidentiality</li>
<li>Flexibility to work outside of regular office hours when necessary</li>
<li>Familiarity with the media and marketing industry is a plus</li>
</ul>
<p>To find out more, click Apply or head on over to Crayon to review the full spec and apply?</p>
<p> https://crayon.jobs/jobs/south-africa/cape-town/executive-personal-assistant-r3-000-bounty/1138</p>
</div>
<p></p></div>",https://za.indeed.com/rc/clk?jk=2bb4661ff969a32a&bb=wUel6Hcm2Cvb4_XibsE2pW2tjVx8jL3tMNSXIhQIkIpRNR1zUATisOzlTXfqGKYtvMD5nDa5I8n324LmZciOetRtLQCsUfTKncTqPp1tETg%3D&xkcb=SoDS67M3FJCE61gMJL0bbzkdCdPP&fccid=6b4000c8d7cda63b&vjs=3
Payroll Administrator,Allan Gray,"Cape Town, Western Cape",,,"<div class=""jobsearch-jobDescriptionText jobsearch-JobComponent-description css-10og78z eu4oa1w0"" id=""jobDescriptionText""><div>
<div>
<div>
<div>
<div>
<h2 class=""jobSectionHeader""><b>Job Description</b></h2>
</div>
<div>
<div>
       The successful candidate will be responsible for assisting the team with the daily duties for the payroll team including compilation of new employment contracts, various staff contract changes, processing of payroll on our software system, and assisting staff and management with queries and requests. The role fits within, and has the support of, the Business Services team within Group Finance.
     </div>
</div>
</div>
<div>
<div>
<h2 class=""jobSectionHeader""><b> Responsibilities</b></h2>
</div>
<div>
<div>
<b> Objectives of role</b>
<br/> The function includes (but is not limited to):
     </div>
<br/>
<div>
<br/>
<b>Daily function</b>
</div>
<ul>
<li>Assist with Mailbox Management to meet service expectations.</li>
<li>Employment contract preparation</li>
</ul>
<br/>
<div>
<br/>
<b>Monthly function</b>
</div>
<ul>
<li>Monthly payroll processing – beginning to end for employees (e.g., new hire, terminations, overtime, commission, various benefits etc.) Currently +-1400 employees</li>
<li>General ledger processing for the relevant payroll journals into accounting system.</li>
<li>Reporting based on needs and requirements to meet the business information requests.</li>
</ul>
<br/>
<div>
<br/>
<b>Quarterly and annual function</b>
</div>
<ul>
<li>Regulatory submissions (including IRP5, COID, STATS SA, UIF)</li>
<li>Annual salary and performance bonus reviews assistance to the team as required to report to the board.</li>
<li>Financial year end reporting to our external auditors.</li>
</ul>
<br/>
<div>
<br/>
<b>General</b>
</div>
<ul>
<li>Assist and support the team with projects such as processing improvements within the payroll space.</li>
<li>General assistance to the team as required.<br/> </li>
</ul>
</div>
</div>
<div>
<div>
<h2 class=""jobSectionHeader""><b>Qualifications and Experience</b></h2>
</div>
<div>
<ul>
<li>BCom, BTech or relevant Certificates/Diplomas in Payroll</li>
<li>Excellent verbal and written communication</li>
<li>High customer levels and professional conduct with the execution of timeous delivery</li>
<li>Proficient, experienced, and knowledgeable of payroll tax and legislation is essential.</li>
<li>Minimum 2-3 years’ experience in payroll processing and administration with knowledge of HR and payroll processes.</li>
</ul>
</div>
</div>
<div>
<div>
<h2 class=""jobSectionHeader""><b>Competencies and Skills</b></h2>
</div>
<div>
<div>
<b> Behavioural Attributes</b>
</div>
<ul>
<li>Will be working with high volumes and should therefore be able to pay attention to detail.</li>
<li>Accurate and methodical.</li>
<li>Highest standard of personal integrity and maturity is required for this role, with a very high respect for confidentiality.</li>
<li>Energetic, flexible, organized, trustworthy and self-disciplined.</li>
<li>Ability to manage your time and workflow activities effectively.</li>
<li>Ability to work under pressure and meet tight deadlines.</li>
<li>Excellent problem-solving skills.</li>
<li>Results orientated.</li>
<li>Ability to work effectively within, and as part of, the Business services team.</li>
<li>Ability to work independently when required.</li>
<li>Ability and flexibility to work extended hours to meet monthly deadlines is a requirement.</li>
</ul>
<br/>
<div>
<br/>
<b>Technical Requirements</b>
</div>
<ul>
<li>Experience with Outlook, Excel (advanced) and Word</li>
<li>Experience on SAGE People, Business Central is advantageous, but not a prerequisite.</li>
<li>SARS E@syfile and e-filing</li>
</ul>
<br/>
<div>
<br/>
<b>Support and Learning</b>
</div>
<ul>
<li>Support (initial and ongoing) and learning is provided by the existing members of the team with strong payroll experience.</li>
</ul>
</div>
</div>
<div>
<div>
<h2 class=""jobSectionHeader""><b>Location</b></h2>
</div>
<div>
<div>
       Cape Town
     </div>
</div>
</div>
<div>
<div>
<h2 class=""jobSectionHeader""><b> Closing Date</b></h2>
</div>
<div>
<div>
       22 January 2024
     </div>
</div>
</div>
</div>
</div>
</div></div>",https://za.indeed.com/rc/clk?jk=29798a33c927f47f&bb=wUel6Hcm2Cvb4_XibsE2pU3lSfxim5xA62vbxmw6omcWlwlt7v1PfP2dN6zvTSXJ-A9b3MJIDXfpf2w0SjYWEA7yZqTuHYkpK7MjGX9uzmE%3D&xkcb=SoBm67M3FJCE61gMJL0abzkdCdPP&fccid=20a00a6dd26749f2&vjs=3
Tax Administrator,Sanlam,"Cape Town, Western Cape",,Permanent,"<div class=""jobsearch-jobDescriptionText jobsearch-JobComponent-description css-10og78z eu4oa1w0"" id=""jobDescriptionText""><div>
<div>
<div>
<div>
<div>
<b>What will you do?</b>
</div>
</div>
<div></div>
<div>
<br/>
<div>
     A position for a 
     <b>Tax Administrator</b> exists in the Santam: Corporate Services in the Tax team, based at our Head Office in 
     <b>Cape Town</b>.
    </div>
<br/>
<div>
<br/> Ensure that the administrative functions within the Tax Team are completed such as dashboards of the submissions due and completed as well as payments due and paid. The role will also be responsible for less complex tax compliance with the assistance of the tax team.
    </div>
</div>
</div>
<div>
<div>
<div>
<b> What will make you successful in this role?</b>
</div>
</div>
<div></div>
<div>
<br/>
<ul>
<li>Compile and administer tax dashboards in respect of various due dates to ensure all tax returns are submitted timeously, status of deliverables and tax compliance.</li>
<li>Preparation of provisional and final income tax calculations/returns for non-complex Santam Subsidiaries.</li>
<li>Preparation of other tax calculations/returns including dividend withholding tax, withholding tax on interest and securities transfer taxes for Santam and subsidiaries.</li>
<li>Assist tax specialists with the preparation of Income Tax and VAT supporting schedules for Santam.</li>
<li>E-Filing submission of provisional, final income tax, VAT, Dividend tax, WHT and STT returns.</li>
<li>Assist Tax Manager with Tax Forums and Tax representation letters.</li>
<li>Tax residency certificate and Tax compliance status verification.</li>
<li>Income Tax and VAT registration/deregistration of companies.</li>
<li>Personal service provider (PSP) submission process.</li>
<li>Assist with SARS query resolution, request for corrections, audits and disputes.</li>
<li>E-filing profile management and tax management software.</li>
<li>Conduct tax research and monitoring changes to tax legislation.</li>
<li>Assist with ad-hoc tax projects, including VAT reviews based on agreed upon procedures.</li>
<li>Audit deliverables</li>
<li>SARS and service provider payments</li>
<li>General tax matters</li>
</ul>
<br/>
<div>
</div>
</div>
</div>
<div>
<div>
<div>
<b>Qualification and Experience</b>
</div>
</div>
<div></div>
<div>
<br/>
<ul>
<li>3-year Financial Degree or Diploma (taxation preferable)</li>
<li>Experience of Income Tax and VAT would be highly recommended.</li>
<li>Minimum 3 years of experience in a Financial Department (taxation preferable)</li>
<li>SARS E-Filing knowledge</li>
<li>Reconciliation experience (beneficial)</li>
<li>Experience of dealings with external parties, e.g., external auditors, accountants from outsourced business partners, banks and SARS would be highly recommended.</li>
<li>Good MS Excel experience would be recommended.</li>
</ul>
</div>
</div>
<div>
<div>
<div>
<b>Skills</b>
</div>
</div>
<div></div>
<div>
<br/>
<ul>
<li>Computer literate (Advanced Excel advantageous, Word and PowerPoint)</li>
<li>Basic financial acumen</li>
<li>Strong co-ordination, organisational and planning skills</li>
<li>Excellent interpersonal, communication (verbal and written) and networking skills</li>
<li>Strong analytical skills and logical reasoning</li>
<li>Ability to drive project &amp; stakeholder inputs</li>
<li>Confidentiality</li>
<li>High initiative / self-starter / proactive and anticipate requirements</li>
<li>Professionalism, excellent judgement, use of discretion, prioritisation and problem-solving abilities</li>
<li>Demonstrated drive and ability to learn new skills</li>
</ul>
</div>
</div>
<div>
<div>
<div>
<b>Core Competencies</b>
</div>
</div>
<div>
<div>
     Cultivates innovation - Contributing independently
    </div>
<div>
      Customer focus - Contributing independently
    </div>
<div>
      Drives results - Contributing independently
    </div>
<div>
      Collaborates - Contributing independently
    </div>
<div>
      Being resilient - Contributing independently
    </div>
</div>
</div>
<div>
<div>
<div>
<b> About The Company</b>
</div>
</div>
<div></div>
<div>
<br/>
<div>
     Santam is the market leader in the general insurance industry in Southern Africa. We are a large, diversified, expanding, and transforming company and whilst based in South Africa, we are rapidly moving into a number of emerging markets, both in Africa and Asia. Our success is rooted in our passion for our clients and everything we do is centered on our delivery of Insurance Good and Proper.
    </div>
<br/>
<div></div>
<div>
     Please note this appointment will be made in line with the Santam Employment Equity strategy. People with disabilities are welcome to apply.
    </div>
</div>
</div>
</div>
</div></div>",https://za.indeed.com/rc/clk?jk=0c10faadb27477e8&bb=zw_U08ioWJaogvzc4fhgUsKt9gs9LaLO2MhOmFrAUqroWE5fFTvJD3RGrp0KTFPpfnaD-Ud1MH7pvf-UYtfzkdR2wri7K7TOSI9EPHEWtVs%3D&xkcb=SoD567M3FJCB2iSndp0JbzkdCdPP&fccid=261173cfefa40d1f&vjs=3
